threshold,tpr,fpr,precision,f1,tp,fp,fn,tn
0.1,1.0,0.9047619047619048,0.32142857142857145,0.4864864864864865,90,190,0,20
0.2,1.0,0.3619047619047619,0.5421686746987951,0.7031249999999999,90,76,0,134
0.3,1.0,0.01904761904761905,0.9574468085106383,0.9782608695652174,90,4,0,206
0.4,0.9777777777777777,0.0,1.0,0.9887640449438202,88,0,2,210
0.5,0.7888888888888889,0.0,1.0,0.8819875776397516,71,0,19,210
0.6,0.4777777777777778,0.0,1.0,0.6466165413533834,43,0,47,210
0.7,0.17777777777777778,0.0,1.0,0.3018867924528302,16,0,74,210
0.8,0.044444444444444446,0.0,1.0,0.0851063829787234,4,0,86,210
0.9,0.0,0.0,0.0,0.0,0,0,90,210
