comparison,attack,data_type,mann_whitney_u,p_value,significant
FedAvg vs FedAvg,label_flip,iid,1250.0,1.0,False
FedAvg vs FedAvg,adaptive,iid,1250.0,1.0,False
FedAvg vs Krum,sign_flip,iid,2500.0,2.6280247350541672e-23,True
FedAvg vs Krum,label_flip,iid,2500.0,2.6280247350541672e-23,True
FedAvg vs Krum,adaptive,iid,2500.0,1.0359537310932414e-22,True
FedAvg vs MultiKrum,sign_flip,iid,0.0,2.6280247350541672e-23,True
FedAvg vs MultiKrum,label_flip,iid,0.0,2.6280247350541672e-23,True
FedAvg vs MultiKrum,adaptive,iid,1250.0,1.0,False
FedAvg vs TrimmedMean,sign_flip,iid,1250.0,1.0,False
FedAvg vs TrimmedMean,label_flip,iid,1250.0,1.0,False
FedAvg vs TrimmedMean,adaptive,iid,1250.0,1.0,False
FedAvg vs Bulyan,sign_flip,iid,1250.0,1.0,False
FedAvg vs Bulyan,label_flip,iid,1250.0,1.0,False
FedAvg vs Bulyan,adaptive,iid,1375.0,0.02299443494438183,True
FedAvg vs FLTrust,sign_flip,iid,0.0,2.6280247350541672e-23,True
FedAvg vs FLTrust,label_flip,iid,0.0,2.6280247350541672e-23,True
FedAvg vs FLTrust,adaptive,iid,1175.0,0.08218430617277306,False
FedAvg vs FLAME,sign_flip,iid,0.0,2.6280247350541672e-23,True
FedAvg vs FLAME,label_flip,iid,0.0,2.6280247350541672e-23,True
FedAvg vs FLAME,adaptive,iid,1175.0,0.08218430617277306,False
FedAvg vs PoEx,sign_flip,iid,1250.0,1.0,False
FedAvg vs PoEx,label_flip,iid,1250.0,1.0,False
FedAvg vs PoEx,adaptive,iid,1250.0,1.0,False
FedAvg vs FedAvg,sign_flip,non_iid,1250.0,1.0,False
FedAvg vs Krum,sign_flip,non_iid,2500.0,2.6280247350541672e-23,True
FedAvg vs MultiKrum,sign_flip,non_iid,2500.0,6.737518155846865e-23,True
FedAvg vs TrimmedMean,sign_flip,non_iid,2500.0,2.6280247350541672e-23,True
FedAvg vs Bulyan,sign_flip,non_iid,2500.0,4.267474481358953e-23,True
FedAvg vs FLTrust,sign_flip,non_iid,2500.0,4.267474481358953e-23,True
FedAvg vs FLAME,sign_flip,non_iid,1100.0,0.1057653065907529,False
FedAvg vs PoEx,sign_flip,non_iid,2500.0,6.737518155846865e-23,True
FedAvg vs FedAvg,sign_flip,cifar10,1000.0,3.792661448129299e-16,True
FedAvg vs Krum,sign_flip,cifar10,1000.0,3.792661448129299e-16,True
FedAvg vs MultiKrum,sign_flip,cifar10,1000.0,3.792661448129299e-16,True
FedAvg vs FLTrust,sign_flip,cifar10,1000.0,3.792661448129299e-16,True
FedAvg vs FLAME,sign_flip,cifar10,1000.0,3.792661448129299e-16,True
